iter	Passed	Remaining
405	6380	9335
406	6394	9317
407	6411	9302
408	6428	9289
409	6445	9275
410	6462	9262
411	6480	9248
412	6499	9237
413	6515	9222
414	6531	9206
415	6546	9190
416	6562	9174
417	6577	9158
418	6591	9139
419	6604	9121
420	6619	9103
421	6635	9088
422	6647	9068
423	6662	9051
424	6676	9032
425	6690	9014
426	6704	8996
427	6718	8978
428	6732	8961
429	6747	8943
430	6761	8926
431	6776	8910
432	6791	8893
433	6807	8877
434	6821	8859
435	6834	8840
436	6847	8821
437	6861	8803
438	6874	8784
439	6887	8765
440	6900	8747
441	6913	8728
442	6927	8710
443	6942	8693
444	6956	8675
445	6969	8657
446	6983	8639
447	6995	8619
448	7008	8600
449	7021	8582
450	7035	8563
451	7048	8546
452	7061	8526
453	7074	8507
454	7088	8491
455	7102	8473
456	7115	8454
457	7129	8436
458	7142	8418
459	7154	8399
460	7167	8380
461	7181	8362
462	7193	8343
463	7206	8324
464	7220	8307
465	7235	8291
466	7248	8273
467	7261	8254
468	7278	8240
469	7294	8225
470	7308	8208
471	7322	8190
472	7335	8173
473	7348	8154
474	7361	8136
475	7376	8120
476	7389	8101
477	7402	8083
478	7415	8065
479	7429	8049
480	7443	8031
481	7456	8013
482	7469	7994
483	7482	7977
484	7496	7960
485	7511	7944
486	7526	7928
487	7539	7910
488	7552	7892
489	7565	7873
490	7578	7856
491	7592	7838
492	7604	7820
493	7617	7802
494	7630	7784
495	7643	7766
496	7657	7749
497	7671	7733
498	7684	7715
499	7697	7697
500	7710	7679
501	7723	7662
502	7736	7644
503	7749	7626
504	7762	7609
505	7775	7590
506	7788	7573
507	7804	7558
508	7818	7541
509	7831	7524
510	7844	7506
511	7857	7488
512	7869	7470
513	7883	7453
514	7897	7437
515	7910	7419
516	7922	7401
517	7938	7386
518	7952	7369
519	7965	7352
520	7978	7334
521	7990	7317
522	8004	7300
523	8017	7283
524	8031	7266
525	8045	7250
526	8058	7232
527	8071	7215
528	8086	7199
529	8099	7182
530	8112	7165
531	8125	7148
532	8138	7130
533	8151	7113
534	8164	7096
535	8178	7079
536	8192	7063
537	8205	7046
538	8217	7028
539	8232	7012
540	8245	6995
541	8258	6978
542	8271	6961
543	8284	6944
544	8297	6927
545	8310	6910
546	8324	6893
547	8337	6876
548	8350	6859
549	8364	6843
550	8378	6827
551	8392	6811
552	8405	6794
553	8419	6777
554	8432	6761
555	8452	6749
556	8466	6734
557	8483	6720
558	8498	6704
559	8512	6688
560	8526	6672
561	8541	6657
562	8555	6640
563	8569	6624
564	8583	6608
565	8595	6590
566	8609	6574
567	8623	6558
568	8637	6542
569	8651	6526
570	8666	6511
571	8682	6496
572	8695	6480
573	8709	6463
574	8722	6447
575	8736	6430
576	8749	6414
577	8762	6397
578	8775	6380
579	8789	6364
580	8803	6348
581	8816	6332
582	8832	6317
583	8846	6301
584	8860	6285
585	8873	6268
586	8887	6252
587	8901	6237
588	8916	6221
589	8930	6206
590	8944	6190
591	8957	6173
592	8971	6157
593	8986	6142
594	9000	6126
595	9014	6110
596	9028	6094
597	9042	6078
598	9056	6062
599	9070	6046
600	9084	6031
601	9098	6015
602	9113	6000
603	9130	5986
604	9145	5971
605	9161	5956
606	9175	5940
607	9188	5924
608	9201	5907
609	9215	5891
610	9229	5876
611	9243	5860
612	9257	5844
613	9272	5829
614	9298	5820
615	9324	5812
616	9349	5803
617	9370	5792
618	9384	5776
619	9403	5763
620	9419	5749
621	9434	5733
622	9448	5717
623	9463	5702
624	9477	5686
625	9491	5670
626	9504	5654
627	9517	5637
628	9530	5621
629	9542	5604
